Pfarrkirch St. Dionysius;51.531057;6.705452
Mahnmal;51.537342;6.714978
Kletterpyramide;51.546561;6.718872
Bemalter Verteilerkasten;51.543059;6.720723
Playground Tower;51.546510;6.727430
Haltestelle Watereck;51.543866;6.736346
Wandgemälde;51.541035;6.728668
6-Säulen-Tempel;51.539047;6.722538
"""Hoermuschel"" am Franz Lenze Platz";51.536867;6.723587
Alter Bahnhof Alt-Walsum;51.534448;6.719087
DJK Vierlinden;51.539480;6.732377
Die Heilige Barbara In Stein;51.539291;6.735112
Martin Niemöller Haus;51.538641;6.741033
Neuapostolische Kirche;51.534171;6.742098
Emscherwaves;51.545960;6.750610
Land für 5 finale Handlungen;51.545484;6.758465
Biergartenfass;51.523236;6.726301
Ankerwurf;51.519302;6.731250
St. Josef Kirche;51.521363;6.740622
evangelische Kirche Aldenrade;51.523902;6.742506
Raute am Haus;51.524092;6.743133
Walsumer Opfer;51.526917;6.743736
Euch zu Ehre uns zur Mahnung;51.524898;6.731870
Place of Silence;51.529333;6.749051
Kirche Wehofen;51.530500;6.767244
Rote Männlein;51.525012;6.760008
Turm mit Rutsche;51.522442;6.750981
Schule Am Park;51.512142;6.766784
Pferde Stahlfigur;51.558108;6.726108
Trabrennbahn Dinslaken;51.557675;6.734310
Trabrennbahn Dinslaken;51.554835;6.735249
Spielschloß Dinslaken;51.557072;6.738151
Rauchende Mäuse;51.559898;6.734070
Draht- und Stabstahlstraße;51.560239;6.735662
Smile in der Neutor Galerie;51.562056;6.739719
Wilhelm Maaß;51.563219;6.740193
Springbrunnen Dinslaken;51.562259;6.732402
Skulptur Vögeln am See;51.562414;6.732184
Schwebender Würfel;51.563758;6.731233
Dinslaken Bahnhof;51.566532;6.736859
Bahnsteig Dinslaken;51.567194;6.737605
Kleine Sparkasse;51.562929;6.751083
Die Baustelle 2001 / 2005;51.565563;6.744737
Alienkopf;51.568864;6.741661
Skulptur;51.568236;6.753096
Neuapostolische Kirche Dinslaken;51.571658;6.748190
Rote Rutsche;51.572288;6.744316
Plattgewalzt;51.570843;6.738775
Elefanten Statue;51.569967;6.729904
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
